"U110";"999";"MEM1";"SAL199"
"U111";"A";"JES2";"SAL001"
"U112";"999";"SAM1";"SAL813"
"U113";"999";"MAM2";"SAL014"
"U114";"999";"JES2";"SAL007"
"U115";"A";"MAS1";"SAL092"
"U116";"999";"MAM1";"SAL007"
"U117";"999";"MAM4";"SAL011"
"U118";"999";"LUM2";"SAL092"
"U119";"A";"LUM1";"SAL006"
"U120";"999";"JEM1";"SAL005"
"U121";"999";"MEM3";"SAL009"
"U122";"999";"JEM2";"SAL007"
"U123";"999";"MAM4";"SAL901"
"U124";"999";"SAM1";"SAL098"
"U125";"999";"MAS1";"SAL096"
"U126";"999";"VES1";"SAL015"
"U127";"999";"JEM3";"SAL901"
"U128";"999";"MEM2";"SAL014"
"U129";"999";"LUS1";"SAL095"
"U130";"999";"JEM4";"SAL004"
"U131";"999";"MAS2";"SAL093"
"U132";"999";"JEM3";"SAL005"
"U133";"999";"VES1";"SAL011"
"U134";"999";"VES3";"SAL007"
"U135";"999";"LUM2";"SAL005"
"U136";"999";"VEM2";"SAL007"
"U137";"999";"SAM2";"SAL097"
"U138";"999";"MAM1";"SAL014"
"U139";"999";"JES2";"SAL011"
"U140";"999";"MAM2";"SAL004"
"U141";"999";"LUM3";"SAL010"
"U142";"999";"SAM1";"SAL013"
"U143";"999";"LUM1";"SAL002"
"U144";"999";"MAM4";"SAL094"
"U145";"999";"MEM1";"SAL094"
"U146";"999";"LUS2";"SAL011"
"U369";"999";"MAS2";"SAL018"
"U370";"999";"JES3";"SAL020"
"U371";"999";"VEM2";"SAL022"
"U372";"999";"SAM2";"SAL020"
"U373";"999";"MAS1";"SAL018"
"U374";"999";"LUM1";"SAL021"
"U375";"999";"MAM4";"SAL020"
"U376";"999";"JES1";"SAL023"
"U377";"999";"MEM1";"SAL018"
"U378";"999";"VES3";"SAL018"
"U379";"999";"LUS2";"SAL021"
"U380";"999";"MEM3";"SAL024"
"U147";"999";"SAM4";"SAL098"
"U148";"999";"SAM3";"SAL008"
"U149";"999";"VES2";"SAL095"
"U150";"A";"MAS3";"SAL003"
"U151";"999";"JEM1";"SAL010"
"U152";"999";"VEM1";"SAL002"
"U153";"999";"VEM4";"SAL005"
"U154";"A";"MAS1";"SAL199"
"U163";"999";"LUM2";"SAL006"
"U164";"999";"JEM3";"SAL008"
"U165";"999";"VEM1";"SAL014"
"U166";"999";"VEM4";"SAL004"
"U167";"999";"MAM1";"SAL013"
"U168";"999";"LUM4";"SAL096"
"U169";"999";"SAM4";"SAL005"
"U170";"999";"MAS2";"SAL001"
"U171";"999";"LUM2";"SAL901"
"U172";"999";"JEM3";"SAL813"
"U173";"999";"VEM4";"SAL001"
"U174";"999";"MAM1";"SAL011"
"U175";"999";"SAM4";"SAL008"
"U176";"999";"LUM4";"SAL093"
"U177";"999";"MAM2";"SAL099"
"U178";"999";"MAS2";"SAL003"
"U381";"A";"MAS1";"SAL017"
"U382";"B";"MAS1";"SAL023"
"U383";"A";"VEM4";"SAL022"
"U384";"B";"VEM4";"SAL018"
"U263";"999";"SAM4";"SAL095"
"U264";"999";"VEM3";"SAL015"
"U265";"999";"MAS3";"SAL001"
"U266";"999";"MEM4";"SAL004"
"U267";"999";"MEM2";"SAL002"
"U268";"999";"VES1";"SAL005"
"U269";"999";"VEM1";"SAL013"
"U270";"999";"JEM4";"SAL098"
"U272";"999";"MAM2";"SAL012"
"U273";"999";"SAM2";"SAL098"
"U275";"999";"MEM1";"SAL011"
"U276";"999";"LUS1";"SAL002"
"U278";"999";"LUM1";"SAL095"
"U279";"999";"LUM4";"SAL003"
"U281";"999";"JES3";"SAL011"
"U282";"999";"VEM3";"SAL014"
"U284";"999";"MAS3";"SAL199"
"U285";"999";"MAS2";"SAL092"
"U300";"999";"SAM3";"SAL029"
"U301";"A";"MEM1";"SAL027"
"U302";"999";"VES3";"SAL027"
"U303";"A";"LUM1";"SAL027"
"U304";"999";"MAS2";"SAL026"
"U305";"A";"LUS1";"SAL028"
"U306";"999";"MEM3";"SAL028"
"U307";"A";"MAM1";"SAL029"
"U308";"999";"VEM2";"SAL029"
"U309";"A";"JEM1";"SAL027"
"U310";"999";"VEM4";"SAL027"
"U311";"A";"MAS3";"SAL029"
"U312";"999";"LUM3";"SAL026"
"U313";"A";"JES1";"SAL026"
"U314";"999";"JEM2";"SAL028"
"U315";"A";"VEM1";"SAL029"
"U387";"A";"LUS3";"SAL023"
"U388";"B";"LUS3";"SAL023"
"U389";"B";"JEM1";"SAL018"
"U390";"A";"JEM1";"SAL018"
"U330";"999";"VEM3";"SAL031"
"U331";"999";"SAM2";"SAL031"
"U332";"999";"JEM4";"SAL032"
"U333";"999";"VES2";"SAL036"
"U334";"999";"LUM4";"SAL031"
"U335";"999";"JES2";"SAL031"
"U340";"999";"VEM3";"SAL035"
"U341";"999";"SAM2";"SAL032"
"U336";"999";"MAS3";"SAL036"
"U337";"999";"MEM2";"SAL034"
"U338";"999";"SAM1";"SAL034"
"U339";"999";"MAM3";"SAL033"
"U343";"999";"LUS2";"SAL035"
"U344";"999";"LUM4";"SAL032"
"U342";"999";"MAM2";"SAL032"
"U346";"999";"MAM4";"SAL033"
"U347";"999";"MAM1";"SAL034"
"U348";"999";"MAS1";"SAL035"
"U349";"999";"LUS2";"SAL031"
"U345";"999";"JEM3";"SAL035"
"U350";"999";"LUM3";"SAL033"
"U351";"999";"SAM4";"SAL032"
"U352";"999";"MAM4";"SAL034"
"U354";"999";"VEM2";"SAL034"
"U355";"999";"JES1";"SAL034"
"U353";"999";"JEM2";"SAL034"
"U356";"999";"LUM1";"SAL036"
"U357";"999";"JES1";"SAL033"
"U358";"999";"MEM3";"SAL035"
"U359";"999";"LUS3";"SAL035"
"U361";"999";"JEM3";"SAL031"
"U362";"999";"LUS3";"SAL031"
"U360";"999";"LUS1";"SAL036"
"U367";"999";"LUM2";"SAL035"
"U368";"999";"VES3";"SAL034"
"U366";"999";"VEM4";"SAL035"
"U0";"999";"MAS1";"SAL030"
"U1";"999";"VEM1";"SAL016"
"U2";"999";"JEM1";"SAL016"
"U3";"999";"MEM2";"SAL030"
"U4";"999";"JES3";"SAL030"
"U5";"999";"MAS2";"SAL016"
"U6";"999";"LUM2";"SAL716"
"U7";"999";"VEM4";"SAL016"
"U8";"999";"LUM3";"SAL716"
"U9";"999";"MEM3";"SAL016"
"U10";"999";"SAM1";"SAL016"
"U11";"999";"SAM3";"SAL016"
"U318";"999";"SAM1";"SAL316"
"U319";"999";"VEM2";"SAL416"
"U320";"999";"JES1";"SAL316"
"U393";"B";"SAM4";"SAL018"
"U394";"A";"SAM4";"SAL018"
"U395";"B";"VEM3";"SAL022"
"U396";"A";"VEM3";"SAL018"
"U321";"999";"JEM1";"SAL416"
"U322";"999";"VES1";"SAL316"
"U323";"999";"JES3";"SAL416"
"U324";"999";"LUS1";"SAL416"
"U325";"999";"SAM3";"SAL416"
"U326";"999";"MAM2";"SAL516"
"U327";"999";"VES3";"SAL316"
"U328";"999";"MAS1";"SAL416"
"U329";"999";"JEM2";"SAL316"
"U399";"A";"JEM2";"SAL024"
"U400";"B";"JEM2";"SAL024"
"U401";"B";"SAM3";"SAL019"
"U402";"A";"SAM3";"SAL024"
"U405";"A";"VEM4";"SAL019"
"U406";"B";"VEM4";"SAL023"
"U407";"A";"JEM4";"SAL019"
"U408";"B";"JEM4";"SAL022"
"U411";"A";"JES2";"SAL019"
"U412";"B";"JES2";"SAL024"
"U413";"A";"JEM3";"SAL022"
"U414";"B";"JEM3";"SAL024"
