Unite;Semaine;Horaire;Idle;Typele;IdEns;IdProf;IdDiv;IdGrp;IdContle
U213;999;MEM2;093;Cours;ENS316;PRF009;999;GRP3162;CS1609c53
U214;999;VES1;097;Cours;ENS316;PRF009;999;GRP3162;CS1609c53
U215;999;SAM4;014;Cours;ENS116;PRF016;999;GRP1161;CS1616c54
U216;999;JES3;003;Cours;ENS116;PRF016;999;GRP1161;CS1616c54
U217;999;MAM4;004;Cours;ENS116;PRF016;999;GRP1161;CS1616c54
U218;999;LUS2;901;Cours;ENS116;PRF016;999;GRP1162;CS1616c55
U219;999;VES1;098;Cours;ENS116;PRF016;999;GRP1162;CS1616c55
U220;999;VES2;009;Cours;ENS116;PRF016;999;GRP1162;CS1616c55
U221;999;JEM2;001;Cours;ENS218;PRF002;999;GRP2181;CS1802c56
U222;999;MAS1;012;Cours;ENS218;PRF002;999;GRP2181;CS1802c56
U223;A;LUM4;012;Cours;ENS218;PRF002;999;GRP2181;CS1802c56
U224;999;JEM2;010;Cours;ENS318;PRF004;999;GRP3181;CS1804c57
U225;999;MAS1;099;Cours;ENS318;PRF004;999;GRP3181;CS1804c57
U226;A;LUS3;015;Cours;ENS318;PRF004;999;GRP3181;CS1804c57
U227;999;LUM1;005;Cours;ENS318;PRF004;999;GRP3182;CS1804c58
U228;999;SAM2;004;Cours;ENS318;PRF004;999;GRP3182;CS1804c58
U229;A;LUM4;092;Cours;ENS318;PRF004;999;GRP3182;CS1804c58
U230;999;LUM4;005;Cours;ENS018;PRF014;999;GRP0181;CS1814c59
U231;999;JEM2;092;Cours;ENS018;PRF014;999;GRP0181;CS1814c59
U232;A;JES3;013;Cours;ENS018;PRF014;999;GRP0181;CS1814c59
U233;999;LUM1;003;Cours;ENS018;PRF014;999;GRP0182;CS1814c60
U234;999;LUS3;093;Cours;ENS018;PRF014;999;GRP0182;CS1814c60
U235;A;SAM2;901;Cours;ENS018;PRF014;999;GRP0182;CS1814c60
U236;999;JES1;095;Cours;ENS219;PRF002;999;GRP2191;CS1902c61
U237;999;MAM3;009;Cours;ENS219;PRF002;999;GRP2191;CS1902c61
U238;A;SAM1;012;Cours;ENS219;PRF002;999;GRP2191;CS1902c61
U239;999;VEM1;099;Cours;ENS319;PRF004;999;GRP3191;CS1904c62
U240;999;MEM3;013;Cours;ENS319;PRF004;999;GRP3191;CS1904c62
